label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,32768,4096,65536,bfloat16,cuda,mean,False,225.080322265625,18002478080,0.0023646932429048032,0.0022848131711053154,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,32768,4096,65536,bfloat16,cuda,mean,False,1982.4803466796875,4883137024,0.001661449679580487,0.0037183046902081623,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,32768,4096,65536,bfloat16,cuda,mean,False,2059.6806640625,4597916160,0.001661449679580487,0.004232657650400917,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,32768,4096,65536,bfloat16,cuda,mean,False,2133.36669921875,4455305728,0.001661449679580487,0.004618940223893631,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,32768,4096,65536,bfloat16,cuda,mean,False,1125.7364501953125,3809395200,0.005108347602964705,0.0037183046902081623,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,32768,4096,65536,bfloat16,cuda,mean,False,1163.3714599609375,3255738880,0.002917366601143673,0.004232657650400917,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,32768,4096,65536,bfloat16,cuda,mean,False,1230.9033203125,2978910720,0.002917366601143673,0.004618940223893631,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,32768,4096,65536,bfloat16,cuda,mean,False,267.55889892578125,2735653376,0.005108347602964705,0.003824993356727007,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,32768,4096,65536,bfloat16,cuda,mean,False,272.96051025390625,2433221632,0.002917366601143673,0.004308629510850151,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,32768,4096,65536,bfloat16,cuda,mean,False,297.0859375,2433221632,0.002917366601143673,0.004671944152133896,,
auto_fp32,auto,aspect_ratio:2,float32,32768,4096,65536,bfloat16,cuda,mean,False,273.1827087402344,2433221632,0.002917366601143673,0.004308619592831195,,
liger,,,,32768,4096,65536,bfloat16,cuda,mean,False,262.8143310546875,3507126272,0.003577412323737622,0.003995667473479364,,
