label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,65536,4096,8192,bfloat16,cuda,mean,False,54.65190505981445,4916511744,0.0016896801645826958,0.0023643101864645314,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,65536,4096,8192,bfloat16,cuda,mean,False,498.2865905761719,4179427840,0.0016614526897909064,0.0020308648778087257,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,65536,4096,8192,bfloat16,cuda,mean,False,504.6507568359375,3373990400,0.0016614526897909064,0.002622022778022265,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,65536,4096,8192,bfloat16,cuda,mean,False,500.2680358886719,2971271680,0.0016614526897909064,0.0035165443504244264,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,65536,4096,8192,bfloat16,cuda,mean,False,285.6581115722656,4045210112,0.0016617274320231616,0.0020308648626439526,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,65536,4096,8192,bfloat16,cuda,mean,False,290.0428771972656,2702901760,0.0016617274320231616,0.00262202275044775,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,65536,4096,8192,bfloat16,cuda,mean,False,284.8143310546875,2031747584,0.0016617274320231616,0.0035165443788501075,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,65536,4096,8192,bfloat16,cuda,mean,False,75.96236419677734,3910992384,0.0016617274320231616,0.004413656450433448,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,65536,4096,8192,bfloat16,cuda,mean,False,76.14566040039062,2568684032,0.0016617274320231616,0.004411302442831871,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,65536,4096,8192,bfloat16,cuda,mean,False,77.40825653076172,1897529856,0.0016617274320231616,0.004997274026959463,,
auto_fp32,auto,aspect_ratio:2,float32,65536,4096,8192,bfloat16,cuda,mean,False,76.14157104492188,2568684032,0.0016617274320231616,0.004411421907585627,,
liger,,,,65536,4096,8192,bfloat16,cuda,mean,False,53.73356628417969,2299592704,0.0016736504996899466,0.0029561261489589926,,
