label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,2048,4096,32000,bfloat16,cuda,mean,False,7.060480117797852,838091776,0.0023558507500818374,0.0014119143864540292,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,2048,4096,32000,bfloat16,cuda,mean,False,74.27891540527344,1694020096,0.0016616524068671806,0.0018035930853271915,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,2048,4096,32000,bfloat16,cuda,mean,False,79.79724884033203,1675537920,0.0016616524080694446,0.001890468031423364,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,2048,4096,32000,bfloat16,cuda,mean,False,99.86457824707031,1666297344,0.0016616524080694446,0.0019499385855925174,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,2048,4096,32000,bfloat16,cuda,mean,False,43.58758544921875,1168945664,0.0028769568272070554,0.0018035930853271915,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,2048,4096,32000,bfloat16,cuda,mean,False,53.189632415771484,1134145024,0.0041005847169067935,0.001890468031423364,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,2048,4096,32000,bfloat16,cuda,mean,False,75.219970703125,1116646912,0.001661829658990683,0.0019499385855925174,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,2048,4096,32000,bfloat16,cuda,mean,False,13.613056182861328,853820416,0.0028769568272070554,0.0018181698530844877,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,2048,4096,32000,bfloat16,cuda,mean,False,17.82169532775879,853820416,0.0041005847169067935,0.001899994063511575,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,2048,4096,32000,bfloat16,cuda,mean,False,31.19513511657715,853820416,0.001661829658990683,0.0019560786784312174,,
auto_fp32,auto,aspect_ratio:2,float32,2048,4096,32000,bfloat16,cuda,mean,False,17.80121612548828,853820416,0.0041005847169067935,0.001899994063511575,,
liger,,,,2048,4096,32000,bfloat16,cuda,mean,False,20.62499237060547,1377724416,0.00235022229150409,0.0018925842391982353,,
