label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,4096,bfloat16,cuda,mean,False,2.106368064880371,218399744,0.0017248940286687428,0.0017218617373746116,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,17.00044822692871,520475136,0.0016614435036825211,0.001658683972795216,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,20.545536041259766,419795456,0.0016614435031530545,0.002032194886953207,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,20.66534423828125,386232832,0.0016614435044154557,0.002623024483890453,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,10.684415817260742,419820032,0.0016619935880926924,0.001658683972795216,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,12.092415809631348,319136256,0.0016619935880926924,0.002032194886953207,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,13.005824089050293,268794368,0.0016619935880926924,0.002623024483890453,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,3.457024097442627,352711168,0.0016619935880926924,0.002137893187339745,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,3.6874239444732666,252027392,0.0016619935880926924,0.0024368812123544657,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,4.316160202026367,218399744,0.0016619935880926924,0.0029471604038211053,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,4.088831901550293,252027392,0.0016619935880926924,0.0024369237783230338,,
liger,,,,4096,4096,4096,bfloat16,cuda,mean,False,2.6312320232391357,285528064,0.001703159453985009,0.0017006101850345825,,
