label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,65536,4096,32000,bfloat16,cuda,mean,False,216.72857666015625,17593795584,0.0023552350845960617,0.002350803009757942,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,65536,4096,32000,bfloat16,cuda,mean,False,1940.2393798828125,4921623040,0.00166155425528984,0.003482516964014356,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,65536,4096,32000,bfloat16,cuda,mean,False,1933.0150146484375,4330193408,0.00166155425528984,0.004852525968688122,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,65536,4096,32000,bfloat16,cuda,mean,False,1961.49560546875,4034478592,0.0016615542546236871,0.006678367470303879,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,65536,4096,32000,bfloat16,cuda,mean,False,1099.9962158203125,4372169216,0.0028764990482401847,0.003482516964014356,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,65536,4096,32000,bfloat16,cuda,mean,False,1102.550048828125,3256451584,0.0028764990482401847,0.004852525968688122,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,65536,4096,32000,bfloat16,cuda,mean,False,1130.303466796875,2700689920,0.0028764990482401847,0.006678367470303879,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,65536,4096,32000,bfloat16,cuda,mean,False,260.76263427734375,3847881216,0.0028764990482401847,0.003967414928971926,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,65536,4096,32000,bfloat16,cuda,mean,False,266.0075378417969,2732163584,0.0028764990482401847,0.005277584096195386,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,65536,4096,32000,bfloat16,cuda,mean,False,270.69439697265625,2414609408,0.0028764990482401847,0.007041175180819029,,
auto_fp32,auto,aspect_ratio:2,float32,65536,4096,32000,bfloat16,cuda,mean,False,265.69830322265625,2732163584,0.0028764990482401847,0.005277578514660282,,
liger,,,,65536,4096,32000,bfloat16,cuda,mean,False,219.95526123046875,2926641152,0.00234997066754254,0.003896686010250818,,
