label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,1024,4096,32000,bfloat16,cuda,mean,False,3.862528085708618,689185792,0.00234481699828628,0.001185223599730842,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,False,40.7193603515625,1641961984,0.0016599632314987928,0.0013874901401325593,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,False,50.68697738647461,1632918016,0.0016599632314987928,0.001428892540540531,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,False,69.7343978881836,1628101120,0.001659963233949104,0.0014563779088211496,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,False,27.218944549560547,1117280768,0.004094961688575494,0.0013874901401325593,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,False,38.231040954589844,1100143104,0.001660138924742642,0.001428892540540531,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,False,58.887168884277344,1091230208,0.0016601505666880886,0.0014563779088211496,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,False,10.457088470458984,828646400,0.004094961688575494,0.0013921497678350662,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,False,17.376256942749023,828646400,0.001660138924742642,0.001431726171864744,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,False,27.99001693725586,828744704,0.0016601505666880886,0.0014584013232608484,,
auto_fp32,auto,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,False,16.278528213500977,828646400,0.001660138924742642,0.001431726171864744,,
