label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,32000,bfloat16,cuda,mean,False,13.092864036560059,1361347584,0.00234935716712781,0.0015730771666414146,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,32000,bfloat16,cuda,mean,False,132.89573669433594,1798136320,0.0016610239537170708,0.002286121149285474,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,32000,bfloat16,cuda,mean,False,147.05255126953125,1761171968,0.0016610239537170708,0.002471272701990159,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,32000,bfloat16,cuda,mean,False,158.08204650878906,1742689792,0.001661023954776129,0.002605686155115448,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,32000,bfloat16,cuda,mean,False,77.06521606445312,1272275456,0.0028764914161488082,0.002286121149285474,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,32000,bfloat16,cuda,mean,False,85.76409912109375,1202543104,0.0028764914161488082,0.002471272701990159,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,32000,bfloat16,cuda,mean,False,105.5068130493164,1167676928,0.0040977962356475665,0.002605686155115448,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,32000,bfloat16,cuda,mean,False,19.358720779418945,904168448,0.0028764914161488082,0.0023152570863728492,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,32000,bfloat16,cuda,mean,False,23.664640426635742,904168448,0.0028764914161488082,0.002491539410445686,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,32000,bfloat16,cuda,mean,False,34.91737747192383,904168448,0.0040977962356475665,0.0026188567606493292,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,32000,bfloat16,cuda,mean,False,23.576576232910156,904168448,0.0028764914161488082,0.0024915237124659953,,
