label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,8192,32000,bfloat16,cuda,mean,False,25.5098876953125,1724154880,0.0023451235892408373,0.0015527687333406685,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,8192,32000,bfloat16,cuda,mean,False,248.08653259277344,3595923968,0.0016567277425109477,0.0020012180238640417,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,8192,32000,bfloat16,cuda,mean,False,261.28179931640625,3513606656,0.0016567277425109477,0.002212139603713179,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,8192,32000,bfloat16,cuda,mean,False,277.1415100097656,3472448000,0.0016567277329865011,0.0023791304076287547,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,8192,32000,bfloat16,cuda,mean,False,141.88134765625,2544202240,0.0028559575513238842,0.0020012180238640417,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,8192,32000,bfloat16,cuda,mean,False,149.63404846191406,2396348928,0.0028559575513238842,0.002212139603713179,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,8192,32000,bfloat16,cuda,mean,False,165.1793975830078,2322422272,0.0028559659656188954,0.0023791304076287547,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,8192,32000,bfloat16,cuda,mean,False,32.468990325927734,1791263744,0.0028559575513238842,0.0020406965993600996,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,8192,32000,bfloat16,cuda,mean,False,35.1539192199707,1791263744,0.0028559575513238842,0.00223978169293666,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,8192,32000,bfloat16,cuda,mean,False,42.2369270324707,1791263744,0.0028559659656188954,0.002397524848358311,,
auto_fp32,auto,aspect_ratio:2,float32,4096,8192,32000,bfloat16,cuda,mean,False,35.160064697265625,1791263744,0.0028559575513238842,0.0022397841142975175,,
