label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,32768,1024,32000,bfloat16,cuda,mean,False,34.59891128540039,8538555392,0.0016716233180290342,0.0016674806087885264,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,32768,1024,32000,bfloat16,cuda,mean,False,271.9477844238281,817799680,0.0016614257032982682,0.007841061767095236,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,32768,1024,32000,bfloat16,cuda,mean,False,289.0772399902344,749113856,0.0016614257032686202,0.010416516370170137,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,32768,1024,32000,bfloat16,cuda,mean,False,319.9570007324219,715295232,0.0016614257025988203,0.012345184365600543,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,32768,1024,32000,bfloat16,cuda,mean,False,170.2277069091797,682533376,0.002883044357704053,0.007841061767095236,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,32768,1024,32000,bfloat16,cuda,mean,False,181.9883575439453,549884416,0.0016619355305384502,0.010416516370170137,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,32768,1024,32000,bfloat16,cuda,mean,False,203.9357452392578,482118144,0.0016617135258090007,0.012345183835689739,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,32768,1024,32000,bfloat16,cuda,mean,False,57.72800064086914,550412800,0.002883044357704053,0.00808813064797458,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,32768,1024,32000,bfloat16,cuda,mean,False,64.28467559814453,417763840,0.0016619355305384502,0.010609917535236834,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,32768,1024,32000,bfloat16,cuda,mean,False,78.1312026977539,415237120,0.0016617135258090007,0.01248391131559082,,
auto_fp32,auto,aspect_ratio:2,float32,32768,1024,32000,bfloat16,cuda,mean,False,64.35327911376953,417763840,0.0016619355305384502,0.010609914801072,,
liger,,,,32768,1024,32000,bfloat16,cuda,mean,False,45.079681396484375,545947648,0.0023525943289455283,0.008255393339141165,,
