label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,32768,8192,32000,bfloat16,cuda,mean,False,210.3726043701172,9467069440,0.0023446928037944743,0.0023351876803456855,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,32768,8192,32000,bfloat16,cuda,mean,False,1914.396728515625,6628016640,0.001656820213202107,0.0025785401788085403,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,32768,8192,32000,bfloat16,cuda,mean,False,1918.2418212890625,5969478144,0.001656820213202107,0.0033089485763917567,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,32768,8192,32000,bfloat16,cuda,mean,False,1936.4085693359375,5640208896,0.001656820212629104,0.004153667931402874,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,32768,8192,32000,bfloat16,cuda,mean,False,1085.0191650390625,5554274816,0.0028573415113019875,0.0025785401788085403,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,32768,8192,32000,bfloat16,cuda,mean,False,1096.5186767578125,4371448320,0.0028573415113019875,0.0033089485763917567,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,32768,8192,32000,bfloat16,cuda,mean,False,1108.3868408203125,3781083648,0.0028573415113019875,0.004153667931402874,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,32768,8192,32000,bfloat16,cuda,mean,False,236.7580108642578,4505698816,0.0028573415113019875,0.002900754013579529,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,32768,8192,32000,bfloat16,cuda,mean,False,239.93753051757812,3322872320,0.0028573415113019875,0.003557192079706069,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,32768,8192,32000,bfloat16,cuda,mean,False,246.40103149414062,3200779264,0.0028573415113019875,0.00434072162175139,,
auto_fp32,auto,aspect_ratio:2,float32,32768,8192,32000,bfloat16,cuda,mean,False,239.52691650390625,3322872320,0.0028573415113019875,0.0035571927589367223,,
liger,,,,32768,8192,32000,bfloat16,cuda,mean,False,213.79299926757812,4236935168,0.0023395565315273196,0.002993181988460977,,
