label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,65536,4096,16384,bfloat16,cuda,mean,False,106.79296112060547,9278587904,0.0016764172467836238,0.0023558226164055265,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,65536,4096,16384,bfloat16,cuda,mean,False,995.53076171875,4313514496,0.0016616007649565567,0.0026233353010287645,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,65536,4096,16384,bfloat16,cuda,mean,False,989.3263549804688,3642360320,0.0016616007649565567,0.003509422940766297,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,65536,4096,16384,bfloat16,cuda,mean,False,991.73681640625,3306783232,0.0016616007649565567,0.004811398410167787,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,65536,4096,16384,bfloat16,cuda,mean,False,572.095458984375,4045079040,0.0016617385714040131,0.002623335297269175,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,65536,4096,16384,bfloat16,cuda,mean,False,563.5235595703125,2837053952,0.0016617385714040131,0.0035094229168728644,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,65536,4096,16384,bfloat16,cuda,mean,False,563.4191284179688,2233041408,0.0016617385714040131,0.004811398374649137,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,65536,4096,16384,bfloat16,cuda,mean,False,137.5713348388672,3776643584,0.0016617385714040131,0.0036744580678651426,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,65536,4096,16384,bfloat16,cuda,mean,False,139.968505859375,2568618496,0.0016617385714040131,0.004352433783701445,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,65536,4096,16384,bfloat16,cuda,mean,False,141.74822998046875,2030830592,0.0016617385714040131,0.0054970897161061676,,
auto_fp32,auto,aspect_ratio:2,float32,65536,4096,16384,bfloat16,cuda,mean,False,139.826171875,2568618496,0.0016617385714040131,0.004352367672412351,,
liger,,,,65536,4096,16384,bfloat16,cuda,mean,False,108.21971130371094,2433810432,0.0016648497110197758,0.0031062908169649465,,
