label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,65536,8192,32000,bfloat16,cuda,mean,False,427.03668212890625,18392810496,nan,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,65536,8192,32000,bfloat16,cuda,mean,False,3839.224853515625,10093265408,0.0016566967979717217,0.0026099782293292975,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,65536,8192,32000,bfloat16,cuda,mean,False,3828.643798828125,8776188416,0.0016566967984886236,0.0034248632284944315,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,65536,8192,32000,bfloat16,cuda,mean,False,3839.177734375,8117649920,0.0016566967984886236,0.004568818214345649,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,65536,8192,32000,bfloat16,cuda,mean,False,2171.273193359375,8994357760,0.002857165526802793,0.0026099782586035676,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,65536,8192,32000,bfloat16,cuda,mean,False,2172.0146484375,6628704768,0.002857165526802793,0.0034248632130992234,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,65536,8192,32000,bfloat16,cuda,mean,False,2189.515869140625,5445878272,0.002857165526802793,0.00456881821410166,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,65536,8192,32000,bfloat16,cuda,mean,False,474.04339599609375,7945781760,0.002857165526802793,0.003211749325781431,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,65536,8192,32000,bfloat16,cuda,mean,False,472.6435852050781,5580128768,0.002857165526802793,0.0038990788755244327,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,65536,8192,32000,bfloat16,cuda,mean,False,478.7240905761719,4811654144,0.002857165526802793,0.004953355261798326,,
auto_fp32,auto,aspect_ratio:2,float32,65536,8192,32000,bfloat16,cuda,mean,False,471.5898742675781,5580128768,0.002857165526802793,0.0038990667334551426,,
liger,,,,65536,8192,32000,bfloat16,cuda,mean,False,421.73455810546875,5835390976,0.00234015478177081,0.003061289209910961,,
