label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,8192,bfloat16,cuda,mean,False,3.8307840824127197,386171904,0.0016917171960421373,0.0016888032991836824,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,8192,bfloat16,cuda,mean,False,32.56934356689453,654676480,0.0016620557304870313,0.002031785385974074,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,8192,bfloat16,cuda,mean,False,34.04800033569336,604336640,0.0016620557304870313,0.002607612802411774,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,8192,bfloat16,cuda,mean,False,35.502079010009766,579166720,0.0016620557304870313,0.0033885002210859425,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,8192,bfloat16,cuda,mean,False,18.760704040527344,520458752,0.002350004017066156,0.002031785385974074,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,8192,bfloat16,cuda,mean,False,20.355072021484375,436564480,0.002350004017066156,0.002607612802411774,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,8192,bfloat16,cuda,mean,False,21.609472274780273,394617344,0.0028778919182607865,0.0033885002210859425,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,8192,bfloat16,cuda,mean,False,6.366208076477051,386241024,0.002350004017066156,0.0022395491051953238,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,8192,bfloat16,cuda,mean,False,6.98367977142334,319063040,0.002350004017066156,0.00276955609034589,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,8192,bfloat16,cuda,mean,False,7.469056129455566,319063040,0.0028778919182607865,0.003508869110775139,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,8192,bfloat16,cuda,mean,False,6.980607986450195,319063040,0.002350004017066156,0.0027695958416104737,,
liger,,,,4096,4096,8192,bfloat16,cuda,mean,False,4.891647815704346,453300224,0.0020377756551743674,0.0023780285765823057,,
