label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,32768,4096,32000,bfloat16,cuda,mean,False,107.54969787597656,8936489984,0.0023575589889922493,0.0023435857736563734,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,32768,4096,32000,bfloat16,cuda,mean,False,971.0858154296875,3255763456,0.0016614520154524697,0.00340217651736198,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,32768,4096,32000,bfloat16,cuda,mean,False,981.7927856445312,2960048640,0.0016614520147511073,0.004420357635212616,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,32768,4096,32000,bfloat16,cuda,mean,False,1016.8248291015625,2812191232,0.0016614520147511073,0.005675640062575719,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,32768,4096,32000,bfloat16,cuda,mean,False,550.993896484375,2718892544,0.0028770550909737527,0.00340217651736198,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,32768,4096,32000,bfloat16,cuda,mean,False,565.3197021484375,2163130880,0.0028770550909737527,0.004420357635212616,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,32768,4096,32000,bfloat16,cuda,mean,False,577.67626953125,1882104320,0.0028770550909737527,0.005675640062575719,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,32768,4096,32000,bfloat16,cuda,mean,False,132.82508850097656,2194604544,0.0028770550909737527,0.003665336587378365,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,32768,4096,32000,bfloat16,cuda,mean,False,135.53152465820312,1638842880,0.0028770550909737527,0.00463174885801695,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,32768,4096,32000,bfloat16,cuda,mean,False,140.11289978027344,1609040896,0.0028770550909737527,0.00583907055828183,,
auto_fp32,auto,aspect_ratio:2,float32,32768,4096,32000,bfloat16,cuda,mean,False,135.552001953125,1638842880,0.0028770550909737527,0.004631739560328347,,
liger,,,,32768,4096,32000,bfloat16,cuda,mean,False,117.54569244384766,2127200256,0.0023520762907378503,0.0037944114803641757,,
