label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,32000,float16,cuda,mean,False,12.902400016784668,1361347584,0.016305746935414568,0.00709038531188783,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,132.77285766601562,1798136832,0.004509447522300969,0.0006972418678434552,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,146.6050567626953,1761172480,0.004509447520850429,0.0009733379085075297,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,156.64332580566406,1742690304,0.004509447521147546,0.0013520885835406025,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,23.29292869567871,1178165760,0.015258368303525638,0.007145133810136002,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,32.52326583862305,1155488256,0.013263269528478536,0.007175772624404155,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,57.35628890991211,1144150016,0.01525871280574921,0.007231192126376326,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,17.366016387939453,904168448,0.015258368303525638,0.007146085459661252,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,21.543935775756836,904168448,0.013263269528478536,0.007176705246008611,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,32.937984466552734,904168448,0.01525871280574921,0.00723213028336472,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,21.511167526245117,904168448,0.013263269528478536,0.007176704219126031,,
liger,,,,4096,4096,32000,float16,cuda,mean,False,26.009504318237305,1427689472,0.014219077641571359,0.007125523334262648,,
