label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,32768,4096,8192,bfloat16,cuda,mean,False,27.068416595458984,2500330496,0.0016893882325470597,0.0023668663307822644,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,32768,4096,8192,bfloat16,cuda,mean,False,252.55628967285156,2299560448,0.0016611297627184673,0.0020322790878853202,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,32768,4096,8192,bfloat16,cuda,mean,False,250.70285034179688,1896841728,0.0016611297627184673,0.002623346348799594,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,32768,4096,8192,bfloat16,cuda,mean,False,252.92185974121094,1695482368,0.0016611297627184673,0.0035164996860578925,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,32768,4096,8192,bfloat16,cuda,mean,False,144.44134521484375,2165342720,0.001661405200433895,0.002032279114561593,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,32768,4096,8192,bfloat16,cuda,mean,False,142.56434631347656,1494188544,0.001661405200433895,0.0026233463485152357,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,32768,4096,8192,bfloat16,cuda,mean,False,144.26112365722656,1158611456,0.001661405200433895,0.0035164996860578925,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,32768,4096,8192,bfloat16,cuda,mean,False,37.91667175292969,2031124992,0.001661405200433895,0.0032769369049130397,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,32768,4096,8192,bfloat16,cuda,mean,False,38.823936462402344,1359970816,0.001661405200433895,0.0036719836514059264,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,32768,4096,8192,bfloat16,cuda,mean,False,39.99846267700195,1024393728,0.001661405200433895,0.00435245615228617,,
auto_fp32,auto,aspect_ratio:2,float32,32768,4096,8192,bfloat16,cuda,mean,False,38.809600830078125,1359970816,0.001661405200433895,0.003672136478487447,,
liger,,,,32768,4096,8192,bfloat16,cuda,mean,False,27.197664260864258,1225424896,0.0016733450345535257,0.0024362203069694557,,
