label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,2048,32000,bfloat16,cuda,mean,False,7.812096118927002,1214546944,0.0023425139527285185,0.0015996668736856818,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,32000,bfloat16,cuda,mean,False,73.46380615234375,907631104,0.0016550064175780952,0.0026155784582571296,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,32000,bfloat16,cuda,mean,False,82.16063690185547,890197504,0.0016550064170698577,0.002774634381465969,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,32000,bfloat16,cuda,mean,False,106.93119812011719,881481216,0.00165500641669003,0.002885375618863332,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,32000,bfloat16,cuda,mean,False,45.99910354614258,644700672,0.0041322698271679175,0.0026155784582571296,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,32000,bfloat16,cuda,mean,False,56.1162223815918,610948608,0.0016552188175698124,0.002774634381465969,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,32000,bfloat16,cuda,mean,False,80.54579162597656,593974784,0.0016551918660190027,0.002885375618863332,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,32000,bfloat16,cuda,mean,False,17.106943130493164,463766528,0.0041322698271679175,0.00263534673749823,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,32000,bfloat16,cuda,mean,False,21.410816192626953,463766528,0.0016552188175698124,0.0027882139375168774,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,32000,bfloat16,cuda,mean,False,35.63622283935547,463766528,0.0016551918660190027,0.0028943925625685147,,
auto_fp32,auto,aspect_ratio:2,float32,4096,2048,32000,bfloat16,cuda,mean,False,20.964351654052734,463766528,0.0016552188175698124,0.002788211547796954,,
