label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,8192,float16,cuda,mean,False,3.976191997528076,386171904,0.00774800830924776,0.006203666370882053,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,32.61235046386719,654676992,0.004509898445407922,0.00028162614951876753,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,33.96915054321289,604337152,0.004509898445407922,0.0003722883573013581,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,35.344383239746094,579167232,0.0045098984490393665,0.0005071727101417054,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,6.0794878005981445,436572672,0.008991426074075529,0.0062205298927808595,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,6.213632106781006,394621440,0.010060530798991819,0.006225254561000507,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,7.547904014587402,373645824,0.012712095257207082,0.006234572686726244,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,5.829631805419922,319063040,0.008991426074075529,0.006222335264837367,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,5.547008037567139,319063040,0.010060530798991819,0.006227045905084092,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,6.730751991271973,319063040,0.012712095257207082,0.006236490707900993,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,6.080512046813965,319063040,0.010060530798991819,0.0062270439340452975,,
liger,,,,4096,4096,8192,float16,cuda,mean,False,4.962048053741455,453300224,0.007748348609640039,0.006208252035861327,,
