label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,1024,32000,float16,cuda,mean,False,5.199872016906738,1139573760,0.015025956462107623,0.008148879592792669,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,45.14201736450195,463558656,0.0022525101442963293,0.0013619905313737378,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,57.024513244628906,454645760,0.0022525101444368103,0.001888446872508305,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,81.06803131103516,450222080,0.002252510144340068,0.002582650752866153,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,19.794944763183594,306272256,0.016761368067102805,0.008280012765162097,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,33.65375900268555,301684736,0.01915008276290957,0.008357105403788914,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,64.0,299341824,0.018502284345341524,0.00843884419273714,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,13.66323184967041,238846976,0.016761368067102805,0.008280784565225439,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,25.261056900024414,238945280,0.01915008276290957,0.008357808495764367,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,49.358848571777344,238846976,0.018502284345341524,0.008439391256026135,,
auto_fp32,auto,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,24.780799865722656,238945280,0.01915008276290957,0.008357809362599156,,
liger,,,,4096,1024,32000,float16,cuda,mean,False,23.830463409423828,370790400,0.016209713784248608,0.008271413367360037,,
