label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,1024,4096,32000,float16,cuda,mean,False,3.9075839519500732,689185792,0.003976231182317683,0.003059352560858089,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,40.3875846862793,1641962496,0.0011276194487095325,0.0005062550955763077,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,49.52678298950195,1632918528,0.0011276194542428385,0.0006672464853065255,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,69.05036926269531,1628101632,0.0011276194557706227,0.0008577248315391457,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,15.819775581359863,1093950464,0.0044630332265763045,0.0030953625119534817,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,27.405311584472656,1088183296,0.004168956368987982,0.0031242216555666994,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,52.32640075683594,1085250560,0.004462828065372547,0.0031677978189594844,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,9.383935928344727,828646400,0.0044630332265763045,0.003095599581911924,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,15.441920280456543,828744704,0.004168956368987982,0.003124443719796977,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,28.675071716308594,828646400,0.004462828065372547,0.0031679944760467323,,
auto_fp32,auto,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,15.474687576293945,828744704,0.004168956368987982,0.003124443719796977,,
liger,,,,1024,4096,32000,float16,cuda,mean,False,18.702495574951172,1352741888,0.004289696098310431,0.003097778600759881,,
