label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,2048,4096,32000,float16,cuda,mean,False,6.7491841316223145,838091776,0.0066329024127545185,0.004879631171125327,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,74.05465698242188,1694020608,0.0022555980914275246,0.0005842028298057032,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,79.1357421875,1675538432,0.002255598091881544,0.0007984607236476648,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,97.46534729003906,1666297856,0.0022555980939645546,0.0010773118255379766,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,19.549184799194336,1121890816,0.006684340131845756,0.0049185142920752465,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,29.268991470336914,1110552576,0.007404246589693352,0.004947373920991414,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,53.152767181396484,1104883712,0.0066842265163240275,0.004996336768803462,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,11.203583717346191,853820416,0.006684340131845756,0.004918988336142176,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,16.876544952392578,853820416,0.007404246589693352,0.004947845098527035,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,29.13587188720703,853820416,0.0066842265163240275,0.004996786395841609,,
auto_fp32,auto,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,16.873472213745117,853820416,0.007404246589693352,0.004947845098527035,,
liger,,,,2048,4096,32000,float16,cuda,mean,False,20.445600509643555,1377724416,0.006241137303633601,0.004913348370912294,,
